"Avatar","Ref","First Name","Last Name","Email","Date Added","Last Login","Actions"
"","7","Jaqueline","Sanford","example-4@railstutorial.org","2016 Nov 08 12:52:33",""," Edit Details"
"","6","Francesco","Rosenbaum","example-3@railstutorial.org","2016 Nov 08 12:52:32",""," Edit Details"
"","1","Sandiswa","Nqampoyi","sandiswa@sableassets.co.za","2016 Nov 08 12:52:29",""," Edit Details"
"","5","Katelynn","Mayer","example-2@railstutorial.org","2016 Nov 08 12:52:32",""," Edit Details"
"","13","Armani","Maggio","example-10@railstutorial.org","2016 Nov 08 12:52:35",""," Edit Details"
"","9","Wava","Legros","example-6@railstutorial.org","2016 Nov 08 12:52:33",""," Edit Details"
"","16","Berta","Kunde","example-13@railstutorial.org","2016 Nov 08 12:52:36",""," Edit Details"
"","14","Efrain","Kulas","example-11@railstutorial.org","2016 Nov 08 12:52:35",""," Edit Details"
"","8","Andres","Hermann","example-5@railstutorial.org","2016 Nov 08 12:52:33",""," Edit Details"
"","11","Ruth","Frami","example-8@railstutorial.org","2016 Nov 08 12:52:34",""," Edit Details"
"","4","Noah","Cronin","example-1@railstutorial.org","2016 Nov 08 12:52:32",""," Edit Details"
"","15","Kendall","Corkery","example-12@railstutorial.org","2016 Nov 08 12:52:35",""," Edit Details"
"","10","Yoshiko","Cassin","example-7@railstutorial.org","2016 Nov 08 12:52:34",""," Edit Details"
"","12","Rhianna","Braun","example-9@railstutorial.org","2016 Nov 08 12:52:34",""," Edit Details"
"","3","Arms","Audit","armsuser@sableassets.co.za","2016 Nov 08 12:52:30",""," Edit Details"
